TIPO;ID;NOME;UNIDADES;VALOR_UNITARIO;VALOR_TOTAL;QTD_ANTERIOR;QTD_ATUAL
VENDA;72;SUCO DE UVA DAFRUTA 1L;1;6.99;6.99;5;4
VENDA;213;;1;0.0;0.0;1;0
VENDA;1511;CERVEJA PURO MALTE AMSTEL 269ML;6;4.69;28.14;21;15
VENDA;1593;AGUA MINERAL NATURAL MARIZA 500ML;1;3.49;3.49;11;10
VENDA;1532;;1;0.0;0.0;1;0
VENDA;1538;BALA FINI TUBES TWISTER 80G;1;7.49;7.49;3;2
VENDA;1472;;1;0.0;0.0;1;0
VENDA;1406;REFRIGERANTE GUARANA ANTARCTICA ZERO 2L;1;11.49;11.49;3;2
REPOSICAO;1736;PIZZA DE FRANGO COM CATUPIRY SEARA 460G;1;21.89;21.89;0;1
REPOSICAO;1516;BALA FINI BANANAS 100G;1;7.49;7.49;2;3
REPOSICAO;1740;MARSHAMALLOW FINI MORANGO 60G;2;7.49;14.98;0;2
REPOSICAO;1703;PIZZA DE CALABRESA SEARA 460G;2;21.89;43.78;0;2
REPOSICAO;1515;BALA FINI BEIJOS DE MORANGO 100G;1;7.49;7.49;2;3
REPOSICAO;1574;AGUA DE COCO  PURO COCO 1L;1;12.99;12.99;5;6
REPOSICAO;1738;BALA FINI FAZENDO ARTE 80G;3;7.49;22.47;0;3
REPOSICAO;1537;BALA FINI AMORAS 100G;2;7.49;14.98;1;3
REPOSICAO;1739;BALA FINI OCEANITOS 80G;3;7.49;22.47;0;3
REPOSICAO;1514;BALA FINI MINHOCAS CITRICAS 100G;2;7.49;14.98;1;3
REPOSICAO;1591;BATATA PALHA TRADICIONAL YOKI 105G;1;12.99;12.99;1;2
REPOSICAO;1539;BALA FINI DENTADURAS 100G;1;7.49;7.49;2;3
REPOSICAO;1667;TORRONE COM AMENDOIM 70G;1;4.49;4.49;8;9
