DATA_HORA;ID;NOME;QUANTIDADE_VENDIDA;VALOR_TOTAL
2026-08-23 17:26:35;18;CHOCOLATE LOLLO 28G;2;8.96
2026-08-23 17:26:35;55;REFRIGERANTE COCA COLA LATA 310ML;2;10.98
2026-08-23 17:26:35;1385;GUARANA ANTARCTICA PET 2L;1;11.48
2026-08-23 17:26:35;44;H2O LIMONETO 500ML;2;14.96
2026-08-23 18:09:49;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-23 18:09:49;1363;MILHO PARA PIPOCA 500G;1;9.98
2026-08-23 23:15:19;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-23 23:15:19;1465;CHOCOLATE SNICKERS ORIGINAL 40G;1;7.68
2026-08-23 23:27:41;8;TRIDENT MENTA 8G;2;7.98
2026-08-23 23:27:41;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-23 23:27:41;1512;TORCIDA 60G QUEIJO;1;3.69
2026-08-23 22:13:01;18;CHOCOLATE LOLLO 28G;4;17.92
2026-08-24 02:51:25;1539;DENTADURAS 100G;1;7.49
2026-08-24 02:51:25;1385;;2;0.0
2026-08-24 02:51:25;1520;;1;0.0
2026-08-24 02:51:25;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;4;24.36
2026-08-24 02:51:25;163;BATATA QUEIJO PRINGLES 109G;1;15.98
2026-08-24 02:51:25;1398;CERVEJA EISENBAHN 269ML;1;4.78
2026-08-24 03:52:54;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;4;24.36
2026-08-24 06:54:48;1348;;1;0.0
2026-08-24 06:54:48;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;5;30.45
2026-08-24 07:57:13;1396;CERVEJA EISENBAHN TIPO PILSEN LATA 350ML;4;24.36
2026-08-24 10:35:42;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-24 11:26:29;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-24 12:45:46;275;ACHOCOLATADO NESCAU 350G;1;15.48
2026-08-24 12:45:46;1464;COCA COLA ZERO AÇUCAR  2L;1;12.88
2026-08-24 12:45:46;1400;GOMETS GOMA TUBO FRUTAS 32G;1;1.88
2026-08-24 12:45:46;132;PAÇOQUITA SANTA HELENA 20G;1;1.98
2026-08-24 14:39:40;1378;ENERGÉTICO MONSTER 473ML;1;11.68
2026-08-24 20:28:02;1450;QUALY LIGHT 250 G COM SAL;1;6.68
2026-08-24 20:28:02;1464;;1;0.0
2026-08-24 20:28:02;1363;;3;0.0
2026-08-24 21:27:05;44;H2O LIMONETO 500ML;1;7.48
2026-08-24 21:27:05;1378;ENERGÉTICO MONSTER 473ML;1;11.68
2026-08-24 21:27:05;1470;ENERGETICO BALY FRUTAS TROPICAIS 2L;1;18.0
2026-08-24 21:27:05;275;ACHOCOLATADO NESCAU 350G;1;15.48
2026-08-24 23:20:26;1378;;1;0.0
2026-08-24 23:20:26;1400;GOMETS GOMA TUBO FRUTAS 32G;2;3.76
2026-08-24 23:20:26;1538;TUBES TWISTER 80G;1;7.49
2026-08-24 23:20:26;281;BALA MENTOS SABOR FANTA LARANJA 37,5G;1;2.99
2026-08-25 01:09:10;265;MILHO EM CONSERVA PREDILECTA 170G;1;4.98
2026-08-25 01:09:10;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-25 01:09:10;1592;PIPOCA DOCE - BEBELA 90G;1;3.89
2026-08-25 01:09:10;1335;GOMA DE TAPIOCA AKIO 320G;1;5.98
2026-08-25 01:09:10;1593;AGUA MARIZA SEM GAS 500 ML;1;3.49
2026-08-25 01:09:10;1531;;1;0.0
2026-08-25 02:56:46;1406;GUARANA ANTARCTICA DIET PET 2L;1;11.48
2026-08-25 04:37:11;1407;GUARANA ANTARCTICA LATA 350 ML;1;5.48
2026-08-25 13:49:05;1456;LEITE INTEGRAL PIRACANJUBA 1L;1;7.98
2026-08-25 14:42:48;281;BALA MENTOS SABOR FANTA LARANJA 37,5G;1;2.99
2026-08-25 14:42:48;1400;GOMETS GOMA TUBO FRUTAS 32G;1;1.88
2026-08-25 17:30:11;44;H2O LIMONETO 500ML;1;7.48
2026-08-25 17:30:11;1470;ENERGETICO BALY FRUTAS TROPICAIS 2L;1;18.0
2026-08-25 17:30:11;1458;;1;0.0
2026-08-25 17:30:11;131;TRIDENT MORANGO 8G;1;3.99
2026-08-25 17:30:11;1539;;1;0.0
2026-08-25 18:36:56;1400;GOMETS GOMA TUBO FRUTAS 32G;1;1.88
2026-08-25 18:36:56;1536;;1;0.0
2026-08-25 18:36:56;1406;GUARANA ANTARCTICA DIET PET 2L;1;11.48
2026-08-25 18:36:56;61;REFRIGERANTE SPRITE LATA 310ML;1;5.49
2026-08-25 18:36:56;1328;HASTES FLEX COTON LINE 75UN;1;3.38
2026-08-25 20:26:36;1322;PIZZA SABORES;1;8.49
2026-08-25 21:26:12;1344;PAO DE FORMA TRADICIONAL 400G;1;8.98
2026-08-25 21:26:12;1511;AMSTEL PURO MALTE LATA 269ML AMSTEL PRIMÁRIA;2;8.98
2026-08-25 21:26:12;272;BARRA DE PROTEINA ABSOLUT AMENDOIM COM COCO 45G;1;10.98
2026-08-25 23:23:32;1327;FERMENTO BIOLOGICO SECO INSTANTANEO PARA  MASSA DE  PÃO PIZZA 30G LEVE 3 PAGUE 2;1;2.49
2026-08-26 01:12:02;1407;GUARANA ANTARCTICA LATA 350 ML;1;5.48
2026-08-26 01:12:02;1474;SALG YOKITOS 45G(QUEIJO TUBINHO);1;4.49
2026-08-26 01:12:02;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-26 01:12:02;1475;SALG YOKITOS 45G(QUEIJO REDINHA);1;4.49
2026-08-26 03:03:04;61;REFRIGERANTE SPRITE LATA 310ML;1;5.49
2026-08-26 03:03:04;1454;SUCO NUTRI MANGA 1L;1;6.98
2026-08-26 03:03:04;281;BALA MENTOS SABOR FANTA LARANJA 37,5G;1;2.99
2026-08-26 04:37:22;1586;;1;0.0
2026-08-26 04:37:22;1582;;1;0.0
2026-08-26 04:37:22;1509;LASANHA BOLONHESA FORNO DE MINAS 600GR;2;32.96
2026-08-26 16:16:23;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-26 18:59:37;274;ENERGETICO BALY ABACAXI COM HORTELA 473ML;1;10.98
2026-08-26 18:59:37;8;TRIDENT MENTA 8G;1;3.99
2026-08-26 21:45:58;1332;CREME DE AVELA COM CACAU NUTELLA 350G;1;32.98
2026-08-26 21:45:58;1411;LEITE DE COCO MENINA  200ML;2;11.96
2026-08-26 21:45:58;1450;QUALY LIGHT 250 G COM SAL;2;13.36
2026-08-26 21:45:58;1410;COXINHA ASA LEVO PCT 1KG;3;47.94
2026-08-26 21:45:58;1409;FILE PEITO CANCAO SEM PELE E OSSO 1KG;3;59.94
2026-08-26 21:45:58;1322;PIZZA SABORES;14;118.86
2026-08-26 21:45:58;1304;GELEIA DE MORANGO 230G SAINT PAU;1;21.48
2026-08-26 21:45:58;1469;ENERG BALY CAIPIRINHA 2L;1;18.0
2026-08-27 02:55:45;1400;GOMETS GOMA TUBO FRUTAS 32G;2;3.76
2026-08-27 02:55:45;1364;FARINHA DE TRIGO ESPECIAL DE 1 KG;1;4.98
2026-08-27 02:55:45;1533;;1;0.0
2026-08-27 02:55:45;18;CHOCOLATE LOLLO 28G;2;8.96
2026-08-27 02:55:45;131;TRIDENT MORANGO 8G;1;3.99
2026-08-27 02:55:45;43;SUCO DAFRUTA NECTAR DE LARANJA 1L;1;6.98
2026-08-27 02:55:45;1592;PIPOCA DOCE - BEBELA 90G;1;3.89
2026-08-27 02:55:45;61;REFRIGERANTE SPRITE LATA 310ML;1;5.49
2026-08-27 02:55:45;252;TORRONE COM AMENDOIM 45G;2;8.98
2026-08-27 02:55:45;1445;CREME DE QUEIJO TRAD COPO 180 GR QUATA;1;10.68
2026-08-27 02:55:45;132;PAÇOQUITA SANTA HELENA 20G;1;1.98
2026-08-27 02:55:45;1454;;2;0.0
2026-08-27 02:55:45;1375;BATATA PALHA TRADICIONAL 90G;1;12.98
2026-08-27 13:49:17;1511;AMSTEL PURO MALTE LATA 269ML AMSTEL PRIMÁRIA;5;23.450000000000003
2026-08-27 13:49:17;277;CREME DE LEITE PIRACANJUBA 200G;1;3.49
2026-08-27 23:36:23;1408;DUCOCO AGUA DE COCO 1L;1;12.98
2026-08-27 23:36:23;1347;CHOC KINDER BUENO WHITE 39G;1;10.98
2026-08-27 23:36:23;1521;CHOCOLATE MEIO AMARGO 80G;1;10.98
2026-08-27 23:36:23;132;PAÇOQUITA SANTA HELENA 20G;3;5.9399999999999995
2026-08-27 23:36:23;1515;BEIJOS DE MORANGO 100G;1;7.49
2026-08-27 23:36:23;1385;GUARANA ANTARCTICA PET 2L;1;11.48
2026-08-27 23:36:23;1322;PIZZA SABORES;4;33.96
2026-08-27 23:36:23;1512;TORCIDA QUEIJO 60G;1;3.79
2026-08-27 23:36:23;1593;AGUA SEM GAS 500 ML MARIZA;1;3.49
2026-08-27 23:36:23;1400;BALA DE GOMA FRUTAS 32G;1;1.88
2026-08-27 23:36:23;48;;9;0.0
2026-08-27 23:36:23;1472;RENATA DIVERTIX MACARRAO INSTANTANEO GALINHA SUAVE 85G;1;2.38
2026-08-27 23:36:23;1467;ENERGETICO MONSTER ULTRA LATA DESCARTAVEL 473ML;1;11.68
2026-08-27 23:36:23;281;BALA MENTOS SABOR FANTA LARANJA 37,5G;2;5.98
2026-08-27 23:36:23;59;BATATA PRINGLES ORIGINAL 104G;1;15.98
2026-08-27 23:36:23;190;REFRIGERANTE COCA COLA ZERO 310 ML;1;5.48
2026-08-27 23:36:23;1466;MONSTER ULTR FIESTA MANGO 473ML;1;11.68
2026-08-27 23:36:23;1420;COCA COLA PET 2L;1;12.88
2026-08-27 23:36:23;1332;CREME DE AVELA COM CACAU NUTELLA 350G;1;32.98
2026-08-27 23:36:23;1544;LEITE CONDENSADO PIRACANJUBA 395G;1;7.89
2026-08-27 23:36:23;1505;TORRONE ARCOR 25G;1;1.99
2026-08-27 23:36:23;1464;COCA COLA ZERO AÇUCAR  2L;2;25.76
2026-08-27 23:36:23;252;TORRONE COM AMENDOIM 45G;1;4.49
2026-08-28 21:05:49;281;BALA MENTOS FANTA LARANJA 37,5G;1;2.99
2026-08-28 21:05:49;131;TRIDENT MORANGO 8G;2;7.98
2026-08-28 21:05:49;1349;ABSORVENTE INTIMUS GEL COM ABAS 16UN;1;14.89
2026-08-28 21:05:49;1517;CHICLELE FINI SALADA DE FRUTAS 80G;1;7.49
2026-08-28 21:05:49;1385;GUARANA ANTARCTICA PET 2L;1;11.48
2026-08-28 21:05:49;1648;;3;0.0
2026-08-28 21:05:49;1511;AMSTEL PURO MALTE LATA 269ML AMSTEL PRIMÁRIA;5;23.450000000000003
2026-08-28 21:05:49;1347;CHOCOLATE KINDER BUENO WHITE 39G;1;10.99
2026-08-28 21:05:49;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-29 03:30:28;281;;1;0.0
2026-08-29 03:30:28;131;TRIDENT MORANGO 8G;1;3.99
2026-08-29 03:30:28;90;BONO DOCE DE LEITE 90G;1;4.69
2026-08-29 03:30:28;1395;CERVEJA HEINEKEN LATA 350ML;2;14.78
2026-08-29 03:30:28;1516;BALA FINI BANANAS 100G;1;7.49
2026-08-29 03:30:28;1649;;3;0.0
2026-08-29 03:30:28;1647;;1;0.0
2026-08-29 03:30:28;1420;REFRIGERANTE COCA COLA 2L;1;12.89
2026-08-29 03:30:28;1475;SALGADINHO YOKITOS 45G (QUEIJO REDINHA);1;4.49
2026-08-29 03:30:28;189;TORCIDA COSTELA COM LIMAO 60G;2;7.58
2026-08-29 03:30:28;1485;PIPOCA DE MICROONDAS MANTEIGA DE CINEMA YOKI 100G;1;7.99
2026-08-29 03:30:28;1464;REFRIGERANTE COCA COLA ZERO ACUCAR  2L;2;25.78
2026-08-29 03:30:28;1381;;4;0.0
2026-08-29 03:30:28;1406;GUARANA ANTARCTICA DIET 2L;1;11.49
2026-08-29 03:30:28;38;;1;0.0
2026-08-29 03:30:28;1456;LEITE INTEGRAL PIRACANJUBA 1L;1;7.99
2026-08-29 03:30:28;132;PAÇOQUITA SANTA HELENA 20G;5;7.95
2026-08-29 03:30:28;1308;PAPEL HIGIENICO DELICATTO PREMIUM 16 ROLOS;1;26.49
2026-08-29 03:30:28;57;BATATA PRINGLES CREME E CEBOLA 109G;1;15.99
2026-08-29 03:30:28;260;MACARRAO PARAFUSO ARAGUAIA 500G;1;4.99
2026-08-29 03:30:28;109;;5;0.0
2026-08-29 03:30:28;1400;BALA DE GOMA FRUTAS 32G;1;1.89
2026-08-29 10:48:22;1400;BALA DE GOMA FRUTAS 32G;2;3.78
2026-08-29 10:48:22;1532;;1;0.0
2026-08-29 10:48:22;1511;CERVEJA AMSTEL PURO MALTE 269ML;3;14.07
2026-08-29 10:48:22;55;REFRIGERANTE COCA COLA LATA 310ML;1;5.49
2026-08-29 10:48:22;1322;PIZZA SABORES;1;8.49
2026-08-29 15:29:09;1501;BISCOITO BAUDUCCO LEITE COM GOTAS 335G;1;10.99
2026-08-29 15:29:09;1465;CHOCOLATE SNICKERS ORIGINAL 40G;1;7.69
2026-08-29 15:29:09;1420;REFRIGERANTE COCA COLA 2L;1;12.89
2026-08-29 15:29:09;50;BARRA DE CEREAL BOLO DE CHOCOLATE NUTRY 22G;1;2.89
2026-08-29 15:29:09;1544;LEITE CONDENSADO PIRACANJUBA 395G;1;7.99
2026-08-29 15:29:09;209;BARRA DE CEREAL AVELA COM CHOCOLATE NUTRY 22G;1;2.89
2026-08-29 19:12:29;54;REFRIGERANTE FANTA LARANJA 310ML;1;5.49
2026-08-29 19:12:29;72;SUCODE UVA DAFRUTA 1L;1;6.89
2026-08-29 19:12:29;132;PAÇOQUITA SANTA HELENA 20G;1;1.59
2026-08-29 19:12:29;1347;CHOCOLATE KINDER BUENO WHITE 39G;1;10.99
2026-08-29 19:12:29;8;TRIDENT MENTA 8G;1;3.99
2026-08-29 22:21:55;1592;PIPOCA DOCE BEBELA 90G;1;3.89
2026-08-29 22:21:55;1374;ARROZ BRANCO URBANO 1KG;2;14.98
2026-08-29 22:21:55;1474;SALGADINHO YOKITOS 45G (QUEIJO TUBINHO);1;4.49
2026-08-29 22:21:55;1456;LEITE INTEGRAL PIRACANJUBA 1L;1;7.99
2026-08-29 22:21:55;1658;;2;0.0
2026-08-29 22:21:55;1373;ARROZ PARBOILIZADO URBANO 1KG;1;7.49
2026-08-29 22:21:55;1657;;2;0.0
2026-08-29 22:21:55;1312;VEJA PERFUMADO LAVANDA 2L;1;13.99
2026-08-29 22:21:55;1491;AMACIANTE YPE ACONCHEGO 2L;1;12.99
2026-08-29 22:21:55;278;OLEO DE SOJA SOYA 900ML;1;9.89
2026-08-29 22:21:55;300;;2;0.0
2026-08-29 22:21:55;1420;REFRIGERANTE COCA COLA 2L;1;12.89
2026-08-29 22:21:55;204;ENERGETICO MONSTER ENERGY 473ML;1;13.99
2026-08-30 01:03:59;1622;SALGADINHO YOKITOS 45G (QUEIJO/LUA);1;4.49
2026-08-30 01:03:59;1489;;3;0.0
2026-08-30 01:03:59;1352;SABAO EM PO MINUANO AZUL 800G;1;13.99
2026-08-30 01:03:59;1347;CHOCOLATE KINDER BUENO WHITE 39G;1;10.99
2026-08-30 01:03:59;1474;SALGADINHO YOKITOS 45G (QUEIJO TUBINHO);1;4.49
2026-08-30 01:03:59;277;CREME DE LEITE PIRACANJUBA 200G;2;7.18
2026-08-30 01:03:59;1415;;3;0.0
2026-08-30 01:03:59;165;TORCIDA BACON 60G;1;3.79
2026-08-30 01:03:59;132;PAÇOQUITA SANTA HELENA 20G;1;1.59
2026-08-30 01:03:59;265;MILHO PREDILECTA 170G;1;5.39
2026-08-30 01:03:59;204;ENERGETICO MONSTER ENERGY 473ML;1;13.99
2026-08-30 01:03:59;1400;;3;0.0
